pk_trainers_id,fk_games_id,trainer,trainer_scenario
1,2,Agatha,Agatha
2,2,Beauty 1,Beauty 1
3,2,Beauty 2,Beauty 2
4,2,Beauty 3,Beauty 3
5,2,Beauty 4,Beauty 4
6,2,Beauty 5,Beauty 5
7,2,Beauty 6,Beauty 6
8,2,Beauty 7,Beauty 7
9,2,Beauty 8,Beauty 8
10,2,Beauty 9,Beauty 9
11,2,Beauty 10,Beauty 10
12,2,Beauty 11,Beauty 11
13,2,Beauty 12,Beauty 12
14,2,Beauty 13,Beauty 13
15,2,Beauty 14,Beauty 14
16,2,Biker 1,Biker 1
17,2,Biker 2,Biker 2
18,2,Biker 3,Biker 3
19,2,Biker 4,Biker 4
20,2,Biker 5,Biker 5
21,2,Biker 6,Biker 6
22,2,Biker 7,Biker 7
23,2,Biker 8,Biker 8
24,2,Biker 9,Biker 9
25,2,Biker 10,Biker 10
26,2,Biker 11,Biker 11
27,2,Biker 12,Biker 12
28,2,Biker 13,Biker 13
29,2,Biker 14,Biker 14
30,2,Biker 15,Biker 15
31,2,Bird Keeper 1,Bird Keeper 1
32,2,Bird Keeper 2,Bird Keeper 2
33,2,Bird Keeper 3,Bird Keeper 3
34,2,Bird Keeper 4,Bird Keeper 4
35,2,Bird Keeper 5,Bird Keeper 5
36,2,Bird Keeper 6,Bird Keeper 6
37,2,Bird Keeper 7,Bird Keeper 7
38,2,Bird Keeper 8,Bird Keeper 8
39,2,Bird Keeper 9,Bird Keeper 9
40,2,Bird Keeper 10,Bird Keeper 10
41,2,Bird Keeper 11,Bird Keeper 11
42,2,Bird Keeper 12,Bird Keeper 12
43,2,Bird Keeper 13,Bird Keeper 13
44,2,Bird Keeper 14,Bird Keeper 14
45,2,Bird Keeper 15,Bird Keeper 15
46,2,Blackbelt 1,Blackbelt 1
47,2,Blackbelt 2,Blackbelt 2
48,2,Blackbelt 3,Blackbelt 3
49,2,Blackbelt 4,Blackbelt 4
50,2,Blackbelt 5,Blackbelt 5
51,2,Blackbelt 6,Blackbelt 6
52,2,Blackbelt 7,Blackbelt 7
53,2,Blackbelt 8,Blackbelt 8
54,2,Blackbelt 9,Blackbelt 9
55,2,Blaine,Blaine
56,2,Brock,Brock
57,2,Bruno,Bruno
58,2,Bug Catcher 1,Bug Catcher 1
59,2,Bug Catcher 2,Bug Catcher 2
60,2,Bug Catcher 3,Bug Catcher 3
